wp_ID,wp_post_title,wp_post_name,cf__sku,Source
3450,Fun Rainbow Loom Band Kit,loom-band-kit,LOOM001,fun-rainbow-loom-band-kit.html
3355,Feather Earrings  - Orange,feather-earrings-orange,EAR009,feather-earrings-orange.html
3340,Big Bubble Beaded Necklace - Blue,beaded-necklace-blue,NECK014,bubble-beaded-necklace-blue.html
3350,Feather Earrings  - Blue,feather-earrings-blue,EAR006,feather-earrings-blue.html
3353,Feather Earrings  - Yellow,feather-earrings-yellow,EAR008,feather-earrings-yellow.html
3339,Big Bubble Beaded Necklace - Yellow,beaded-necklace-yellow,NECK013,bubble-beaded-necklace-yellow.html
3365,Feather Earrings  - Peach,feather-earrings-peach,EAR014,feather-earrings-peach.html
3341,Big Bubble Beaded Necklace - Baby Blue,necklace-baby-blue,NECK015,bubble-beaded-necklace-baby-blue.html
3342,Big Bubble Beaded Necklace - Green,beaded-necklace-green,NECK016,bubble-beaded-necklace-green.html
3343,Big Bubble Beaded Necklace - Red,beaded-necklace-red,NECK017,bubble-beaded-necklace-red.html
3196,Nail Stickers - Patchy Silver,nail-stickers-patchy,NAIL022,nail-stickers-patchy-silver.html
3191,Nail Stickers - Silver Polka Dot,nail-stickers-polka-dot,NAIL019,nail-stickers-silver-polka-dot.html
3193,Nail Stickers - Hearts & Kisses,nail-stickers-hearts-kisses,NAIL020,nail-stickers-hearts-kisses.html
3101,Punk Style Leather Bracelet - Black,leather-bracelet-black,BRACE015,leather-bracelet-black.html
3099,Punk Style Leather Bracelet - White,leather-bracelet-white,BRACE014,multi-layer-leather-bracelet-white.html
3194,Nail Stickers - Gold Stripes,nail-stickers-gold,NAIL021,nail-stickers-gold-stripes.html
3198,Nail Stickers - Patchy Gold,nail-stickers-patchy-gold,NAIL023,nail-stickers-patchy-gold.html
3200,Nail Stickers - Silver Roses,nail-stickers-silver-roses,NAIL024,nail-stickers-silver-roses.html
3189,Nail Stickers - Skulls,nail-stickers-skulls,NAIL018,nail-stickers-skulls.html
